StartNode,EndNode,Length,cable,Inom,R,X
47,15,22.21,50Al,0.12528,0.01423661,0.00188785
49,40,15.57,95Al,0.18386,0.0049824,0.00127674
26,41,18.26,95Al,0.18386,0.0058432,0.00149732
11,12,6.71,95Al,0.18386,0.0021472,0.00055022
12,27,6.52,95Al,0.18386,0.0020864,0.00053464
27,28,5.79,95Al,0.18386,0.0018528,0.00047478
23,47,1,50Al,0.12528,0.000641,8.50E-05
15,43,12,50Al,0.12528,0.007692,0.00102
4,43,17.68,95Al,0.18386,0.0056576,0.00144976
6,21,8.35,95Al,0.18386,0.002672,0.0006847
21,4,6.69,95Al,0.18386,0.0021408,0.00054858
35,26,2.63,95Al,0.18386,0.0008416,0.00021566
34,0,25.34,95Al,0.18386,0.0081088,0.00207788
44,36,1,95Al,0.18386,0.00032,8.20E-05
45,44,9.58,50Al,0.12528,0.00614078,0.0008143
9,8,9.97,95Al,0.18386,0.0031904,0.00081754
20,9,2.37,95Al,0.18386,0.0007584,0.00019434
10,20,9.86,95Al,0.18386,0.0031552,0.00080852
22,10,7.16,95Al,0.18386,0.0022912,0.00058712
46,22,17.43,95Al,0.18386,0.0055776,0.00142926
8,37,20.02,95Al,0.18386,0.0064064,0.00164164
41,49,12.46,95Al,0.18386,0.0039872,0.00102172
40,11,135.41,95Al,0.18386,0.0433312,0.01110362
38,6,2.99,95Al,0.18386,0.0009568,0.00024518
1,16,7.13,16Al,0.06902,0.0136183,0.00068448
2,1,10.45,16Al,0.06902,0.0199595,0.0010032
3,2,7.16,16Al,0.06902,0.0136756,0.00068736
16,45,1,16Al,0.06902,0.00191,9.60E-05
7,38,12.63,95Al,0.18386,0.0040416,0.00103566
19,18,9.55,16Al,0.06902,0.0182405,0.0009168
17,41,9.97,16Al,0.06902,0.0190427,0.00095712
5,24,21.78,95Al,0.18386,0.0069696,0.00178596
18,17,15.13,16Al,0.06902,0.0288983,0.00145248
36,5,14.79,95Al,0.18386,0.0047328,0.00121278
24,25,12.9,95Al,0.18386,0.004128,0.0010578
25,35,14.06,95Al,0.18386,0.0044992,0.00115292
28,34,22.77,95Al,0.18386,0.0072864,0.00186714
42,23,4.97,50Al,0.12528,0.00318577,0.00042245
43,44,10.8,95Al,0.18386,0.003456,0.0008856
37,7,4.83,95Al,0.18386,0.0015456,0.00039606
29,14,10.4,16Al,0.06902,0.019864,0.0009984
23,48,3.5,16Al,0.06902,0.006685,0.000336
15,39,5.31,16Al,0.06902,0.0101421,0.00050976
20,13,20.44,6Cu,0.05,0.06256684,0.002044
7,32,14.93,16Al,0.06902,0.0285163,0.00143328
30,33,7.15,16Al,0.06902,0.0136565,0.0006864
4,30,24.22,16Al,0.06902,0.0462602,0.00232512
6,31,6.86,16Al,0.06902,0.0131026,0.00065856
21,29,18.11,16Al,0.06902,0.0345901,0.00173856
47,50,21.75,6Cu,0.075,0.06657675,0.002175
48,51,2.22,6Cu,0.075,0.00679542,0.000222
29,52,10.4,16Al,0.035,0.019864,0.0009984
29,53,10.4,16Al,0.035,0.019864,0.0009984
14,54,7.33,16Al,0.035,0.0140003,0.00070368
30,55,7.15,16Al,0.035,0.0136565,0.0006864
13,56,7.09,16Al,0.035,0.0135419,0.00068064
49,57,20.01,16Cu,0.075,0.0230115,0.0016008
26,58,24.29,16Al,0.075,0.0463939,0.00233184
33,59,3.05,16Al,0.035,0.0058255,0.0002928
33,60,5.14,16Al,0.035,0.0098174,0.00049344
11,61,6.51,16Al,0.035,0.0124341,0.00062496
12,62,6.51,16Al,0.025,0.0124341,0.00062496
27,63,6.58,16Al,0.035,0.0125678,0.00063168
9,64,24.09,6Cu,0.035,0.07373949,0.002409
20,65,20.44,6Cu,0.035,0.06256684,0.002044
10,66,18.8,6Cu,0.035,0.0575468,0.00188
22,67,6.96,6Cu,0.075,0.02130456,0.000696
8,68,19.89,6Cu,0.075,0.06088329,0.001989
39,69,7.59,16Al,0.075,0.0144969,0.00072864
39,70,0.58,16Al,0.075,0.0011078,5.57E-05
31,71,0.61,16Al,0.035,0.0011651,5.86E-05
31,72,5.94,16Al,0.035,0.0113454,0.00057024
1,73,0.77,16Al,0.035,0.0014707,7.39E-05
2,74,0.5,16Al,0.075,0.000955,4.80E-05
3,75,0.93,16Al,0.035,0.0017763,8.93E-05
16,76,1.04,50Al,0.035,0.00066664,8.84E-05
19,77,1.73,16Al,0.035,0.0033043,0.00016608
19,78,15.02,16Al,0.035,0.0286882,0.00144192
18,79,1.34,16Al,0.035,0.0025594,0.00012864
17,80,2.05,50Al,0.035,0.00131405,0.00017425
5,81,16.5,16Al,0.075,0.031515,0.001584
24,82,15.73,16Al,0.035,0.0300443,0.00151008
25,83,17.86,16Al,0.075,0.0341126,0.00171456
32,84,0.69,16Al,0.035,0.0013179,6.62E-05
32,85,1.59,16Al,0.075,0.0030369,0.00015264
28,86,6.76,16Al,0.035,0.0129116,0.00064896
