;Name;Node.ID;Node.Unom;Length;Type short;Connection value;load;PV;HP;Node
1;871694840006284337;46559968;230;21,75;XLPE 4x6Cu;3x25 A;7000;4;1;50
2;871694840006288793;46563894;230;2,22;XLPE 4x6Cu;3x25 A;7000;6;0;51
3;871694840006284108;11195660;230;10,4;PVC 4x16Al;1x35 A;2000;2,2;0;52
4;871694840006284115;11195660;230;10,4;PVC 4x16Al;1x35 A;500;2,2;0;53
5;871694840006284092;2573422;230;7,33;PVC 4x16Al;1x35 A;2000;2,2;0;54
6;871694840006284122;11195661;230;7,15;PVC 4x16Al;1x35 A;1500;2,2;0;55
7;871694840006291922;2573419;230;7,09;PVC 4x16Al;1x35 A;4500;5,4;1;56
8;871694840000056671;46669828;230;20,01;XLPE 4x16Cu;3x25 A;5000;3,575;1;57
9;871694840000056701;6904204;230;24,29;PVC 4x16Al;3x25 A;7000;5;0;58
10;871694840006284139;15141845;230;3,05;PVC 4x16Al;1x35 A;2000;2,2;0;59
11;871694840006284146;15141845;230;5,14;PVC 4x16Al;1x35 A;500;2,28;0;60
12;871694840006104529;1620329;230;6,51;PVC 4x16Al;1x35 A;2500;2,16;0;61
13;871694840006104512;1620331;230;6,51;PVC 4x16Al;1x25 A;1000;2,16;0;62
14;871694840006104505;8902150;230;6,58;PVC 4x16Al;1x35 A;1000;0;0;63
15;871694840006284412;984031;230;24,09;GPLK 4x6Cu;1x35 A;5000;4;1;64
16;871694840006284085;6904192;230;20,44;GPLK 4x6Cu;1x35 A;1500;0,6;0;65
17;871694840006284429;984033;230;18,8;GPLK 4x6Cu;1x35 A;3500;3,68;1;66
18;871694840006284436;6904196;230;6,96;GPLK 4x6Cu;3x25 A;10000;9;1;67
19;871694840006284405;984029;230;19,89;GPLK 4x6Cu;3x25 A;4000;5;1;68
20;871694840006284344;25550168;230;7,59;PVC 4x16Al;3x25 A;3500;3,15;0;69
21;871694840006284351;25550168;230;0,58;PVC 4x16Al;3x25 A;2500;3,15;0;70
22;871694840006284368;14496097;230;0,61;PVC 4x16Al;1x35 A;10000;5;0;71
23;871694840006284375;14496097;230;5,94;PVC 4x16Al;1x35 A;2000;0;0;72
24;871694840006284177;967927;230;0,77;PVC 4x16Al;1x35 A;2500;0;0;73
25;871694840006284160;967929;230;0,5;PVC 4x16Al;3x25 A;7000;7;1;74
26;871694840006284153;967931;230;0,93;PVC 4x16Al;1x35 A;10000;5,58;1;75
27;871694840000056664;6863324;230;1,04;PVC 4x50Al;1x35 A;3500;0;0;76
28;871694840006284221;6863334;230;1,73;PVC 4x16Al;1x35 A;2000;3,6;0;77
29;871694840006284214;6863334;230;15,02;PVC 4x16Al;1x35 A;5000;1,92;1;78
30;871694840006284238;6863332;230;1,34;PVC 4x16Al;1x35 A;2000;4;0;79
31;871694840006284245;6863330;230;2,05;PVC 4x50Al;1x35 A;2000;0;0;80
32;871694840006284320;984023;230;16,5;PVC 4x16Al;3x25 A;3000;0;0;81
33;871694840006284313;6904200;230;15,73;PVC 4x16Al;1x35 A;6000;4,86;1;82
34;871694840006291915;6904202;230;17,86;PVC 4x16Al;3x25 A;4500;9,29;0;83
35;871694840006284382;14496098;230;0,69;PVC 4x16Al;1x35 A;3000;0;1;84
36;871694840006284399;14496098;230;1,59;PVC 4x16Al;3x25 A;6000;5,44;0;85
37;871694840006104499;8902152;230;6,76;PVC 4x16Al;1x35 A;0;0;0;86
