P_solar,T_ambient,timestamp,interpolated
0,9.5,2023-09-01T00:00:00.000+00:00,false
0,9.4,2023-09-01T00:10:00.000+00:00,false
0,9.5,2023-09-01T00:20:00.000+00:00,false
0,9.6,2023-09-01T00:30:00.000+00:00,false
0,9.5,2023-09-01T00:40:00.000+00:00,false
0,9.5,2023-09-01T00:50:00.000+00:00,false
0,9.6,2023-09-01T01:00:00.000+00:00,false
0,9.6,2023-09-01T01:10:00.000+00:00,false
0,9.6,2023-09-01T01:20:00.000+00:00,false
0,9.5,2023-09-01T01:30:00.000+00:00,false
0,9.6,2023-09-01T01:40:00.000+00:00,false
0,9.9,2023-09-01T01:50:00.000+00:00,false
0,9.9,2023-09-01T02:00:00.000+00:00,false
0,9.8,2023-09-01T02:10:00.000+00:00,false
0,9.8,2023-09-01T02:20:00.000+00:00,false
0,9.8,2023-09-01T02:30:00.000+00:00,false
0,9.8,2023-09-01T02:40:00.000+00:00,false
0,9.9,2023-09-01T02:50:00.000+00:00,false
0,9.9,2023-09-01T03:00:00.000+00:00,false
0,9.9,2023-09-01T03:10:00.000+00:00,false
0,9.8,2023-09-01T03:20:00.000+00:00,false
0,9.7,2023-09-01T03:30:00.000+00:00,false
0,9.7,2023-09-01T03:40:00.000+00:00,false
0,9.5,2023-09-01T03:50:00.000+00:00,false
0,9.3,2023-09-01T04:00:00.000+00:00,false
0,9.7,2023-09-01T04:10:00.000+00:00,false
0,9.4,2023-09-01T04:20:00.000+00:00,false
0,9.0,2023-09-01T04:30:00.000+00:00,false
2,8.9,2023-09-01T04:40:00.000+00:00,false
3,8.9,2023-09-01T04:50:00.000+00:00,false
8,9.0,2023-09-01T05:00:00.000+00:00,false
18,9.0,2023-09-01T05:10:00.000+00:00,false
27,9.1,2023-09-01T05:20:00.000+00:00,false
37,9.3,2023-09-01T05:30:00.000+00:00,false
54,9.5,2023-09-01T05:40:00.000+00:00,false
65,9.8,2023-09-01T05:50:00.000+00:00,false
85,10.6,2023-09-01T06:00:00.000+00:00,false
101,10.9,2023-09-01T06:10:00.000+00:00,false
122,11.1,2023-09-01T06:20:00.000+00:00,false
130,11.7,2023-09-01T06:30:00.000+00:00,false
115,11.9,2023-09-01T06:40:00.000+00:00,false
154,12.2,2023-09-01T06:50:00.000+00:00,false
189,12.6,2023-09-01T07:00:00.000+00:00,false
203,13.0,2023-09-01T07:10:00.000+00:00,false
262,13.3,2023-09-01T07:20:00.000+00:00,false
224,13.8,2023-09-01T07:30:00.000+00:00,false
222,14.1,2023-09-01T07:40:00.000+00:00,false
189,14.4,2023-09-01T07:50:00.000+00:00,false
197,14.5,2023-09-01T08:00:00.000+00:00,false
249,14.7,2023-09-01T08:10:00.000+00:00,false
260,15.2,2023-09-01T08:20:00.000+00:00,false
235,15.4,2023-09-01T08:30:00.000+00:00,false
262,15.8,2023-09-01T08:40:00.000+00:00,false
283,16.1,2023-09-01T08:50:00.000+00:00,false
292,16.2,2023-09-01T09:00:00.000+00:00,false
291,16.3,2023-09-01T09:10:00.000+00:00,false
337,16.6,2023-09-01T09:20:00.000+00:00,false
426,16.6,2023-09-01T09:30:00.000+00:00,false
420,16.8,2023-09-01T09:40:00.000+00:00,false
339,16.7,2023-09-01T09:50:00.000+00:00,false
294,16.7,2023-09-01T10:00:00.000+00:00,false
245,16.6,2023-09-01T10:10:00.000+00:00,false
268,16.7,2023-09-01T10:20:00.000+00:00,false
270,16.8,2023-09-01T10:30:00.000+00:00,false
191,16.6,2023-09-01T10:40:00.000+00:00,false
158,16.6,2023-09-01T10:50:00.000+00:00,false
169,16.6,2023-09-01T11:00:00.000+00:00,false
177,16.7,2023-09-01T11:10:00.000+00:00,false
177,16.7,2023-09-01T11:20:00.000+00:00,false
170,16.7,2023-09-01T11:30:00.000+00:00,false
244,17.1,2023-09-01T11:40:00.000+00:00,false
222,17.0,2023-09-01T11:50:00.000+00:00,false
259,17.1,2023-09-01T12:00:00.000+00:00,false
413,17.4,2023-09-01T12:10:00.000+00:00,false
313,17.4,2023-09-01T12:20:00.000+00:00,false
367,17.6,2023-09-01T12:30:00.000+00:00,false
345,17.7,2023-09-01T12:40:00.000+00:00,false
363,17.8,2023-09-01T12:50:00.000+00:00,false
515,18.3,2023-09-01T13:00:00.000+00:00,false
411,17.9,2023-09-01T13:10:00.000+00:00,false
339,18.0,2023-09-01T13:20:00.000+00:00,false
354,18.1,2023-09-01T13:30:00.000+00:00,false
441,18.5,2023-09-01T13:40:00.000+00:00,false
379,18.5,2023-09-01T13:50:00.000+00:00,false
333,18.4,2023-09-01T14:00:00.000+00:00,false
296,18.5,2023-09-01T14:10:00.000+00:00,false
308,18.5,2023-09-01T14:20:00.000+00:00,false
308,18.6,2023-09-01T14:30:00.000+00:00,false
354,18.8,2023-09-01T14:40:00.000+00:00,false
311,18.7,2023-09-01T14:50:00.000+00:00,false
359,19.0,2023-09-01T15:00:00.000+00:00,false
231,18.4,2023-09-01T15:10:00.000+00:00,false
162,18.4,2023-09-01T15:20:00.000+00:00,false
158,18.4,2023-09-01T15:30:00.000+00:00,false
152,18.3,2023-09-01T15:40:00.000+00:00,false
120,18.3,2023-09-01T15:50:00.000+00:00,false
129,18.3,2023-09-01T16:00:00.000+00:00,false
123,18.3,2023-09-01T16:10:00.000+00:00,false
119,18.1,2023-09-01T16:20:00.000+00:00,false
105,18.1,2023-09-01T16:30:00.000+00:00,false
84,18.0,2023-09-01T16:40:00.000+00:00,false
95,18.1,2023-09-01T16:50:00.000+00:00,false
75,17.9,2023-09-01T17:00:00.000+00:00,false
71,17.6,2023-09-01T17:10:00.000+00:00,false
54,17.2,2023-09-01T17:20:00.000+00:00,false
45,17.2,2023-09-01T17:30:00.000+00:00,false
42,17.2,2023-09-01T17:40:00.000+00:00,false
29,17.0,2023-09-01T17:50:00.000+00:00,false
22,16.8,2023-09-01T18:00:00.000+00:00,false
14,16.6,2023-09-01T18:10:00.000+00:00,false
6,16.3,2023-09-01T18:20:00.000+00:00,false
0,15.8,2023-09-01T18:30:00.000+00:00,false
0,15.7,2023-09-01T18:40:00.000+00:00,false
0,14.7,2023-09-01T18:50:00.000+00:00,false
0,14.2,2023-09-01T19:00:00.000+00:00,false
0,14.2,2023-09-01T19:10:00.000+00:00,false
0,14.0,2023-09-01T19:20:00.000+00:00,false
0,13.6,2023-09-01T19:30:00.000+00:00,false
0,13.1,2023-09-01T19:40:00.000+00:00,false
0,12.2,2023-09-01T19:50:00.000+00:00,false
0,12.5,2023-09-01T20:00:00.000+00:00,false
0,12.1,2023-09-01T20:10:00.000+00:00,false
0,12.4,2023-09-01T20:20:00.000+00:00,false
0,12.6,2023-09-01T20:30:00.000+00:00,false
0,12.9,2023-09-01T20:40:00.000+00:00,false
0,13.1,2023-09-01T20:50:00.000+00:00,false
0,13.2,2023-09-01T21:00:00.000+00:00,false
0,13.3,2023-09-01T21:10:00.000+00:00,false
0,13.3,2023-09-01T21:20:00.000+00:00,false
0,13.1,2023-09-01T21:30:00.000+00:00,false
0,13.1,2023-09-01T21:40:00.000+00:00,false
0,12.8,2023-09-01T21:50:00.000+00:00,false
0,12.6,2023-09-01T22:00:00.000+00:00,false
0,12.2,2023-09-01T22:10:00.000+00:00,false
0,12.5,2023-09-01T22:20:00.000+00:00,false
0,12.2,2023-09-01T22:30:00.000+00:00,false
0,12.3,2023-09-01T22:40:00.000+00:00,false
0,12.5,2023-09-01T22:50:00.000+00:00,false
0,12.8,2023-09-01T23:00:00.000+00:00,false
0,12.9,2023-09-01T23:10:00.000+00:00,false
0,13.0,2023-09-01T23:20:00.000+00:00,false
0,13.0,2023-09-01T23:30:00.000+00:00,false
0,12.8,2023-09-01T23:40:00.000+00:00,false
